oid,NZGD ID,NZTM Easting,NZTM Northing,year
CPT-KAN-28,1289.0,1572278.54,5196750.64,2010
CPT-KAN-30,1291.0,1572547.16,5196625.67,2010
CPT-KAN-31,1292.0,1572882.96,5196195.95,2010
CPT-KAN-32,1293.0,1572877.54,5196213.08,2010
CPT-KAN-35,1294.0,1572578.35,5196418.79,2010
CPT-KAN-38,1297.0,1573084.47,5196180.29,2010
CPT-KAN-39,1298.0,1573405.04,5196231.21,2010
CPT-KAN-40,1299.0,1573255.62,5196256.85,2010
CPT-KAN-41,1300.0,1573338.64,5196256.73,2010
CPT-KAN-42,1301.0,1572226.31,5196825.47,2010
CPT-KAN-43,1302.0,1572405.57,5196584.46,2010
CPT-KAS-02,1348.0,1572740.69,5195795.51,2010
CPT-KAS-08,1310.0,1572516.99,5195704.14,2010
CPT-KAS-13,1314.0,1572727.66,5196121.6,2010
CPT-KAS-14,1315.0,1572479.96,5196327.7,2010
CPT-KAS-16,1317.0,1571969.95,5196551.43,2010
CPT-KAS-18,1319.0,1572068.19,5196782.42,2010
CPT-KAS-19,1320.0,1571465.31,5196815.45,2010
CPT-KAS-22,1323.0,1571930.45,5196932.51,2010
CPT-KAS-23,1324.0,1571033.8,5196821.88,2010
CPT-KAS-25,1326.0,1572272.42,5195588.2,2010
CPT-KAS-29,1330.0,1572609.36,5195793.58,2010
CPT-KAS-31,1332.0,1572603.96,5196216.66,2010
CPT-KAS-34,1335.0,1571976.73,5196731.32,2010
CPT-KAS-35,1336.0,1572108.31,5196535.36,2010
CPT-KAS-36,1337.0,1572199.86,5196646.43,2010
CPT-KAS-37,1338.0,1572242.49,5196600.0,2010
CPT-KAS-38,1339.0,1572222.64,5196403.05,2010
CPT-KAS-41,1342.0,1572081.61,5196902.22,2010
CPT-KAS-43,1343.0,1572555.85,5196253.63,2010
CPT-KAS-46,1346.0,1572725.2,5195980.22,2010
CPT-KAS-47,1347.0,1572756.77,5195866.11,2010
CPT-KAS-48,1348.0,1572740.69,5195795.51,2010
CPT-KAS-50,1349.0,1572561.76,5195382.43,2010
CPT-KAS-51,1350.0,1572516.82,5195333.97,2010
CPT-KAS-52,1351.0,1572465.63,5195379.26,2010
CPT-KAS-53,1352.0,1572091.36,5196752.85,2010
CPT-KAS-54,1353.0,1572294.91,5196562.13,2010
CPT-KAS-55,1354.0,1572330.92,5196522.27,2010
CPT-KGA-01,1355.0,1573109.93,5194207.68,2010
