oid,year,E,N,qc1Ncs,mS,mF,pgaS,pgaF
CPT-CBD-70,2011,1571111.09,5179787.78,101.02748587843179,0,0,21.99,67.94
CPT-CBD-74,2011,1569968.22,5179539.86,90.62554449360769,0,0,21.29,53.88
CPT-CBD-79,2011,1571177.68,5179535.04,103.40985633581019,0,0,21.99,67.94
CPT-CBD-82,2011,1571745.11,5179578.8,91.05777377983507,0,1,21.99,73.45
CPT-CBD-83,2011,1569428.09,5179417.92,88.0211660816239,0,0,20.92,58.07
CPT-CBD-86,2011,1570166.79,5179357.79,79.6401294664713,0,1,21.29,65.49
CPT-CBD-87,2011,1570350.22,5179324.19,84.81080338432152,0,1,21.29,65.49
CPT-CBD-91,2011,1571358.9,5179337.78,105.28641640163389,0,0,21.99,71.59
CPT-CBD-92,2011,1571553.23,5179391.64,103.75876568593141,0,1,21.99,76.32
CPT-CBD-94,2011,1569140.92,5179094.56,71.99670378610969,0,0,20.92,53.1
CPT-CBD-98P,2011,1569879.48,5179176.59,61.94655348190909,0,1,21.29,58.07
CPT-CBD-OC01,2011,1571080.28,5180388.49,104.46081014072357,0,1,21.99,63.18
CPT-CBD-OC03,2011,1571108.1,5180379.32,113.36618806697103,0,1,21.99,63.18
CPT-CBD-PC01,2011,1571079.78,5180387.0,129.08186879979434,0,1,21.99,63.18
CPT-CBD-PC03,2011,1571108.12,5180380.19,136.98679136204703,0,1,21.99,63.18
CPT-CBD-Z2-1,2011,1570502.21,5180375.42,126.51369038997596,0,0,21.29,57.63
CPT-CBD-Z2-11,2011,1570623.21,5180460.58,114.10359221954512,0,1,21.29,57.63
CPT-CBK-03,2010,1567598.49,5185478.32,71.80849235602165,0,0,25.85,25.19
CPT-CBK-04,2010,1567802.38,5185577.24,105.48580443672381,0,0,25.85,25.19
CPT-CBK-08,2010,1568380.93,5186000.94,82.75690216904752,0,1,25.55,24.37
CPT-CHM-08,2011,1570406.17,5176324.53,80.14199555814261,0,1,22.4,82.87
CPT-CHM-12,2011,1570554.71,5176183.38,75.88408179899199,0,0,22.4,82.87
CPT-DAL-07,2010,1574602.57,5182888.22,90.68554711033947,0,0,22.59,68.54
CPT-DAL-10,2010,1573547.91,5181402.25,68.29614883882482,0,0,22.46,73.3
CPT-DAL-11,2010,1573475.39,5181613.71,130.55009410182478,0,0,22.46,73.3
CPT-DAL-12,2010,1573546.15,5181653.92,88.84224128763789,0,0,22.46,73.3
CPT-DAL-17,2010,1573495.1,5181834.56,133.49132110702283,0,0,22.46,73.3
CPT-DAL-19,2010,1573913.09,5181844.99,89.98390873723953,0,0,22.24,73.3
CPT-DAL-20,2010,1574113.48,5181897.97,105.87686345698759,0,0,22.24,82.14
CPT-DAL-22,2010,1573614.93,5182098.11,139.2648616830985,0,0,22.46,73.3
CPT-DAL-23,2010,1573910.29,5182147.67,85.03888749384839,0,0,22.24,73.3
CPT-DAL-25,2010,1574327.22,5182208.53,80.49140881321394,0,0,22.24,82.14
CPT-DAL-26,2010,1573900.35,5182314.86,136.70813448923838,0,0,22.24,67.92
CPT-DAL-27,2010,1574131.27,5182348.13,85.97529054963525,0,0,22.24,68.54
CPT-DAL-28,2010,1574347.38,5182392.82,97.39262884599813,0,0,22.24,68.54
CPT-DAL-29,2010,1573923.06,5182569.96,83.14187984978777,0,0,22.24,67.92
CPT-DAL-31,2010,1574317.6,5182612.75,91.72410024193213,0,0,22.24,68.54
CPT-DAL-33,2010,1574183.27,5182817.31,79.42318987186303,0,0,22.59,68.54
CPT-DAL-37,2010,1574304.42,5183000.16,79.86806031253825,0,0,22.59,68.54
CPT-DAL-38,2010,1573319.65,5182003.01,150.7251051066862,0,0,22.46,70.66
CPT-DAL-40,2010,1573527.21,5182478.35,104.32257707873109,0,0,22.46,67.92
